Screen name,Latvian,Russian,English,Total
TeroITT,,,101,101
danielqino,,85,16,101
lagzdinsh3,,101,,101
@@LEISURE,100,,,100
@rigaszoodarzs,100,,,100
AnceAV,100,,,100
KadsSakars,30,1,69,100
egle_martins,98,,2,100
smss11,84,,16,100
AijaMelle,97,,2,99
Badshinigami,,99,,99
nikuuusja1111,,98,1,99
K_Tronenkova,98,,,98
biiebsmoonlight,,,98,98
cdsouthan,,,98,98
jboner,,,98,98
karlis_serzants,98,,,98
mmzane,98,,,98
nostradamusboy,89,,9,98
AndrejsSilins,84,,13,97
IrelandEmbLat,2,,95,97
SANDISGABRIELS2,74,8,15,97
SMetuzals,96,,,96
VP_Latvijai,96,,,96
lerozaSamoilova,1,91,4,96
monicataher,,,96,96
optimist_ka_1,,96,,96
raven30_08,17,66,13,96
@rigafc_official,95,,,95
SkillShooterz,,,95,95
Snafijs,19,,76,95
nikutik98,,91,4,95
Bsektors_,65,,29,94
krapans,4,2,88,94
kristina22033,,93,1,94
sofiasopic,,,94,94
vkoralis,93,1,,94
Djhelminen,78,,15,93
cernova15,,93,,93
entuziasti,92,,1,93
linardsh,82,,10,92
Borovkovs,89,1,1,91
aukstais_kars,84,,7,91
joshkawessels,,,91,91
DagnijaLejina,31,,59,90
summerrr212,,89,1,90
Baastina,,85,4,89
Makslai_telpu,89,,,89
EsmuGatis,38,,50,88
Ulubele,88,,,88
tatiana4598,,88,,88
@fkventspils_,46,31,10,87
BangBangEzhik,,83,4,87
MonikaSarkane,60,,27,87
virtulis,,72,14,86
wtfisellie,3,29,54,86
margrieta333,,85,,85
GitaRevalde,83,,1,84
Raivis_Spalvens,78,,6,84
Silina_Elina,84,,,84
irifann12,,82,2,84
mnimmum,,83,1,84
AnnaIljenkova,,80,3,83
Dinusty,,,83,83
Kalvis_Egle,78,,5,83
JoachimHolmer,,,82,82
Smats1984,,,82,82
Tesmenjasmens,47,,35,82
Yakusheva_Al,,82,,82
elenastar25,,82,,82
rachelblat,,81,1,82
sinestuna,1,80,1,82
thegayestbean,,,82,82
JhonUnotours,,,81,81
Misszemenite,,81,,81
SaldusPB,81,,,81
@viaa_lv,80,,,80
ValeryCokie,,73,7,80
infopunkts,80,,,80
krivkat,,72,8,80
@@SHOPPING,79,,,79
@vestnesis,79,,,79
AndrisTaurins,79,,,79
Dzhaan420,1,72,6,79
Edijsdau,2,,77,79
Miksons_Karlis,76,,3,79
RogerGLewis,,,79,79
THUNDERFROST1,,79,,79
ValdisMelderis,77,,2,79
ZVALatvija,75,,4,79
darbvedis,77,,2,79
official_piztwi,,69,10,79
@@LSM-WEB,78,,,78
@@LSM.LV💬,78,,,78
@lsmlv,78,,,78
AntipovOn,,78,,78
Sarma_Freiberga,77,,1,78
zhamalov_,,69,9,78
1_biz_channel,,74,3,77
Lazdans,77,,,77
chrisgray1971,,,77,77
gothkitten9445,64,,13,77
house0fball00ns,,77,,77
julliet_refield,,76,1,77
@thebodyshoplv,76,,,76
HarrisJSweden99,,,76,76
LitleGirlAlice,,75,1,76
nobbyonemate,,,76,76
@@SCHOOL,75,,,75
_Yurochka_,1,73,1,75
happydaysgladd2,,,75,75
EdgarsTurlajs,70,,4,74
Xumlo27,,73,1,74
codepo8,,,74,74
ladik111,,74,,74
@zvskola,73,,,73
BC_BARONS,66,,7,73
JuiceCupSQ,,,73,73
OsoLaikYuGona,,,73,73
mrexdabass,64,,9,73
almond1412,,72,,72
cbmornings,,,72,72
@@NGO,49,9,13,71
SandraU20,1,69,1,71
Zepanski,,,71,71
btayhatt,,,71,71
realansta,,63,8,71
whatisthatsh,29,,42,71
@hkzemgale,70,,,70
Equinezw0w,13,,57,70
Kalvadossa,70,,,70
absolut_ilze,70,,,70
mvanags,65,,5,70
ForVikusja,,69,,69
M_Rutkevica,52,2,15,69
santa_be,66,,3,69
AlgitaLfc,,,68,68
Devyatov,,68,,68
Ilya_Riga,,68,,68
_monika_i_,57,,11,68
artjomnovikov,4,59,5,68
boborotenj,,68,,68
dimantinjs,68,,,68
artursreiljans,20,41,6,67
evita_purina,64,,3,67
ginchuxa,67,,,67
jn_ayrton,,67,,67
kolja242,,67,,67
krists_abele,11,2,54,67
vipdace,62,,5,67
Ah7785,,,66,66
sysmannet,,6,60,66
AnnaPlakane,61,,4,65
BorksPutnins,65,,,65
Karsavas_Novads,65,,,65
VladRiga,,64,1,65
cimdarausis,60,,5,65
nekasgruts,62,,3,65
@vieglatletikalv,64,,,64
Raimonds_B,64,,,64
Victory__tk,,63,1,64
kiloHearts,,,64,64
A_Reizenbergs,63,,,63
